System,PC1,PC2
D111A,2.295650,-13.638720
D111A,2.602780,-13.794070
D111A,2.603460,-14.065800
D111A,3.059010,-14.501170
D111A,2.423690,-14.405540
D111A,2.595280,-13.901210
D111A,3.392070,-14.433960
D111A,3.275360,-14.887170
D111A,2.007300,-13.848600
D111A,0.971720,-13.541240
D111A,0.352280,-12.331510
D111A,0.608960,-12.659850
D111A,-0.611080,-12.138410
D111A,0.859440,-12.070710
D111A,1.734310,-13.566860
D111A,2.827450,-14.695310
D111A,2.544000,-14.731470
D111A,3.442070,-15.677590
D111A,3.645380,-15.122920
D111A,3.635450,-15.677080
D111A,2.000790,-12.883020
D111A,1.444570,-12.639430
D111A,1.139630,-12.490870
D111A,2.032720,-13.273240
D111A,1.590460,-14.064550
D111A,1.891370,-12.909410
D111A,1.614340,-12.674280
D111A,0.803100,-12.091060
D111A,2.216870,-13.278230
D111A,1.342270,-12.174930
D111A,2.542860,-14.794980
D111A,1.313050,-12.403820
D111A,1.468950,-12.611350
D111A,0.636740,-12.016100
D111A,1.939240,-13.528670
D111A,1.341320,-12.759830
D111A,1.122660,-12.478290
D111A,1.662560,-13.200540
D111A,2.280590,-13.926840
D111A,1.440470,-13.015890
D111A,1.481980,-12.439200
D111A,1.654110,-12.845130
D111A,1.966250,-12.470340
D111A,1.455270,-12.520320
D111A,1.359840,-11.657760
D111A,2.123840,-11.888900
D111A,1.329310,-11.845970
D111A,0.987430,-12.101750
D111A,0.235860,-10.819780
D111A,2.733320,-13.726370
D111A,0.833350,-11.219840
D111A,54.777220,23.521770
D111A,1.911090,-13.118330
D111A,0.506200,-11.844440
D111A,1.971450,-13.104180
D111A,1.808640,-13.208330
D111A,2.899690,-14.308410
D111A,3.213470,-15.093490
D111A,2.785260,-15.145350
D111A,3.221940,-15.616970
D111A,3.904280,-16.243600
D111A,2.864290,-15.486340
D111A,3.119930,-15.766980
D111A,3.403560,-16.675330
D111A,3.624470,-15.168310
D111A,3.573030,-15.989790
D111A,53.137750,24.677450
D111A,4.230750,-16.271550
D111A,3.733660,-15.778340
D111A,3.895430,-15.618900
D111A,2.946390,-14.305810
D111A,3.190480,-14.979780
D111A,2.774170,-13.880160
D111A,2.498090,-14.101870
D111A,2.536740,-13.996850
D111A,2.301300,-14.226630
D111A,3.907450,-15.173400
D111A,3.194350,-14.101420
D111A,3.657990,-14.943160
D111A,2.587000,-13.460700
D111A,2.500540,-13.894120
D111A,3.713150,-14.961680
D111A,3.495210,-14.135060
D111A,3.873000,-14.974340
D111A,3.499770,-14.543720
D111A,3.802360,-15.316380
D111A,4.929940,-16.095330
D111A,3.918750,-15.133470
D111A,3.347390,-14.303790
D111A,3.399910,-15.055210
D111A,4.045920,-15.404570
D111A,3.689370,-14.872010
D111A,2.582380,-13.644610
D111A,3.729450,-14.779060
D111A,4.605130,-16.225990
D111A,3.938220,-15.664480
D111A,4.544620,-15.924530
D111A,4.280240,-15.858290
D111A,4.088560,-14.920290
D111A,5.088790,-16.342930
D111A,4.097270,-16.038430
D111A,4.689510,-15.863260
D111A,4.308790,-16.375420
D111A,5.050180,-16.003400
D111A,4.308420,-15.428740
D111A,2.940930,-13.046420
D111A,2.770850,-13.387190
D111A,3.087630,-14.164260
D111A,2.708980,-12.915880
D111A,2.476350,-13.012420
D111A,1.128520,-11.551730
D111A,2.961540,-13.753510
D111A,1.615080,-12.614260
D111A,1.683570,-12.432560
D111A,2.512650,-13.662180
D111A,2.052950,-12.217400
D111A,1.684410,-12.258620
D111A,2.724940,-13.185840
D111A,3.655220,-13.485210
D111A,1.420690,-11.722390
D111A,2.469700,-12.670680
D111A,3.237040,-13.577610
D111A,2.562660,-12.692310
D111A,1.261260,-11.800850
D111A,1.301690,-11.458250
D111A,2.975930,-13.381180
D111A,2.674540,-13.623790
D111A,2.728690,-13.369000
D111A,1.936250,-12.605530
D111A,2.942760,-13.239900
D111A,1.342260,-11.441130
D111A,1.691790,-12.420560
D111A,3.174820,-14.107490
D111A,2.273350,-13.173280
D111A,0.734720,-11.492960
D111A,0.845350,-11.682370
D111A,2.046250,-13.010980
D111A,2.218180,-12.726930
D111A,3.413120,-13.654310
D111A,2.645490,-13.728670
D111A,3.444430,-14.005030
D111A,2.875910,-13.121620
D111A,3.069990,-13.829060
D111A,2.514410,-13.634040
D111A,1.920510,-12.920030
D111A,3.391250,-14.027100
D111A,2.649410,-13.216160
D111A,3.355940,-14.381570
D111A,3.363220,-13.748100
D111A,3.958960,-14.579570
D111A,3.389110,-14.116030
D111A,3.911180,-14.227780
D111A,3.474910,-14.458480
D111A,4.026180,-15.275260
D111A,3.881260,-13.798820
D111A,3.607300,-14.344330
D111A,3.741340,-14.111900
D111A,3.808100,-14.238250
D111A,4.301480,-14.760390
D111A,4.742660,-14.943300
D111A,3.831650,-14.289430
D111A,3.846120,-14.507090
D111A,3.579670,-14.090540
D111A,2.922930,-13.234040
D111A,3.628310,-13.494740
D111A,2.198050,-11.561790
D111A,1.157850,-11.755840
D111A,2.192250,-12.731430
D111A,2.505450,-12.554680
D111A,2.653400,-13.220520
D111A,3.366440,-13.168230
D111A,2.872640,-12.966430
D111A,2.616800,-12.500740
D111A,2.929150,-13.265940
D111A,2.968120,-14.064550
D111A,3.225360,-14.075170
D111A,3.467750,-14.342940
D111A,1.342900,-12.108770
D111A,3.228710,-12.868110
D111A,2.136450,-12.446440
D111A,4.011460,-14.534490
D111A,3.236560,-14.048660
D111A,2.942990,-13.929580
D111A,3.688610,-14.692240
D111A,3.821810,-14.779300
D111A,3.485390,-13.571220
D111A,2.295460,-12.806470
D111A,4.827450,-15.308040
D111A,4.046150,-14.470480
D111A,3.835040,-14.711090
D111A,3.073010,-14.097350
D111A,2.910190,-13.962700
D111A,3.813240,-14.920550
D111A,4.318080,-15.473660
D111A,4.296680,-14.657060
D111A,3.380350,-14.922720
D111A,2.839720,-14.148930
D111A,3.413550,-14.571460
D111A,3.646770,-14.399560
D111A,3.091010,-13.400170
D111A,2.870990,-13.531930
D111A,2.567460,-13.270960
D111A,3.264290,-13.844290
D111A,0.647070,-11.487790
D111A,1.107130,-12.372840
D111A,0.446710,-11.258600
D111A,-0.017870,-10.383980
D111A,0.562160,-10.617780
D111A,1.197650,-12.044650
D111A,1.849280,-12.042280
D111A,1.406270,-11.899560
D111A,1.123490,-11.320320
D111A,0.834720,-11.210230
D111A,0.670190,-10.708750
D111A,2.012920,-11.945010
D111A,1.822340,-11.784640
D111A,2.302430,-12.415710
D111A,2.233420,-12.903000
D111A,2.803100,-13.811990
D111A,1.162130,-12.100710
D111A,1.734240,-12.522500
D111A,2.151500,-13.356270
D111A,1.908610,-13.121400
D111A,2.430090,-13.380580
D111A,2.133680,-12.553910
D111A,0.772390,-10.239990
D111A,1.849550,-10.473000
D111A,2.119930,-10.258430
D111A,2.229290,-9.830610
D111A,0.848850,-9.532680
D111A,-0.285970,-9.186530
D111A,0.763750,-9.600490
D111A,-0.282460,-9.438560
D111A,-0.673320,-8.622210
D111A,-0.212330,-8.103280
D111A,-0.660910,-7.435310
D111A,-1.991540,-6.957150
D111A,55.158530,22.087480
D111A,54.822110,22.613930
D111A,56.077560,22.900090
D111A,-0.476150,-8.590280
D111A,55.942280,22.363490
D111A,55.372810,23.313310
D111A,54.917200,23.850780
D111A,54.233690,24.567260
D111A,54.823000,24.773130
D111A,54.585160,25.108170
D111A,55.061440,24.715570
D111A,1.286510,-9.636790
D111A,0.521510,-9.055110
D111A,57.116720,23.516080
D111A,55.833330,23.600770
D111A,57.143860,23.256810
D111A,2.546920,-11.880020
D111A,1.729090,-10.818560
D111A,1.298210,-10.353340
D111A,57.355400,21.689720
D111A,56.057260,22.918560
D111A,56.923890,22.491070
D111A,57.359650,22.864950
D111A,56.510190,23.808110
D111A,55.985020,23.677400
D111A,56.284690,24.651010
D111A,1.045410,-9.985710
D111A,1.332520,-10.342660
D111A,2.052450,-10.233460
D111A,56.793580,24.090650
D111A,1.302870,-9.903040
D111A,0.784330,-9.422340
D111A,1.405850,-10.608520
D111A,1.086680,-9.635460
D111A,1.100360,-9.410410
D111A,1.306450,-9.973060
D111A,1.010760,-10.255180
D111A,2.217120,-10.364290
D111A,56.854850,22.447640
D111A,3.439270,-12.443950
D111A,2.903200,-11.466940
D111A,2.551250,-11.364390
D111A,2.117760,-10.443060
D111A,1.363330,-9.888040
D111A,2.392650,-10.891220
D111A,2.968570,-11.842920
D111A,2.592400,-10.670600
D111A,2.332230,-11.443810
D111A,1.611430,-10.883340
D111A,2.938090,-12.178950
D111A,2.262180,-11.278170
D111A,3.786850,-12.711600
D111A,1.948830,-10.573440
D111A,2.689540,-11.314820
D111A,1.234210,-9.933590
D111A,2.141650,-10.959790
D111A,1.982930,-9.392780
D111A,2.238460,-10.984620
D111A,2.956930,-11.676960
D111A,2.878940,-11.280430
D111A,2.135550,-10.297530
D111A,3.180490,-12.077080
D111A,3.679350,-12.270030
D111A,2.765500,-10.673080
D111A,3.951230,-12.294430
D111A,4.478130,-13.086000
D111A,3.770270,-12.587610
D111A,3.403580,-12.231820
D111A,3.695200,-12.824400
D111A,2.790610,-11.659510
D111A,3.632570,-12.303150
D111A,4.496920,-12.145980
D111A,3.673130,-11.304130
D111A,2.041360,-9.206160
D111A,2.763590,-9.639280
D111A,3.615830,-10.805160
D111A,4.056930,-9.831410
D111A,3.658050,-11.321090
D111A,3.025010,-9.560600
D111A,3.903320,-11.042960
D111A,3.198230,-9.520460
D111A,2.817920,-10.271300
D111A,3.590270,-10.192320
D111A,3.699920,-10.872510
D111A,4.203620,-10.507770
D111A,3.937050,-10.924480
D111A,4.825380,-11.502260
D111A,4.027420,-11.289870
D111A,4.670400,-12.328760
D111A,4.127960,-12.133530
D111A,3.718120,-11.489780
D111A,5.185290,-12.014850
D111A,3.631260,-10.961800
D111A,3.565150,-10.817240
D111A,3.439380,-9.732850
D111A,4.316810,-11.043740
D111A,3.686350,-10.423180
D111A,4.453430,-10.758230
D111A,3.693220,-9.977360
D111A,3.685150,-11.030670
D111A,2.866220,-10.181790
D111A,3.198430,-9.671810
D111A,3.718190,-9.744730
D111A,2.209380,-8.059000
D111A,42.763810,24.716830
D111A,2.086150,-8.453990
D111A,2.127890,-8.653290
D111A,3.261170,-9.226090
D111A,2.968070,-9.830760
D111A,3.970150,-11.224100
D111A,2.778900,-10.023020
D111A,3.435260,-10.184460
D111A,3.203920,-10.429250
D111A,42.343930,23.468280
D111A,3.138950,-9.643800
D111A,43.407050,23.808940
D111A,43.277230,22.573660
D111A,43.501750,21.401010
D111A,4.461790,-10.525050
D111A,3.076140,-9.572660
D111A,2.040670,-9.626210
D111A,3.109280,-10.488940
D111A,2.123490,-9.089250
D111A,1.995090,-8.511010
D111A,2.791990,-8.733840
D111A,3.746870,-10.585670
D111A,2.745900,-9.799630
D111A,2.377040,-9.361290
D111A,1.778070,-8.842220
D111A,2.348360,-9.320460
D111A,2.615540,-10.316410
D111A,49.780510,27.321440
D111A,3.218960,-9.804750
D111A,49.101300,27.004430
D111A,3.397900,-10.914130
D111A,2.387160,-8.992530
D111A,2.904250,-9.711090
D111A,2.783610,-10.058810
D111A,3.627610,-10.388970
D111A,2.731880,-8.967290
D111A,1.970020,-9.080300
D111A,3.412930,-9.381060
D111A,3.599890,-10.091460
D111A,4.489060,-11.269150
D111A,5.264450,-13.570100
D111A,4.723410,-12.342700
D111A,4.448670,-13.686590
D111A,3.949480,-12.575900
D111A,3.755240,-11.523450
D111A,4.391290,-12.565170
D111A,3.962430,-11.373410
D111A,4.453540,-11.109670
D111A,3.964200,-10.918360
D111A,3.515700,-10.402430
D111A,4.001030,-11.583450
D111A,3.421260,-10.699480
D111A,2.875940,-10.995710
D111A,2.935480,-10.745640
D111A,3.765680,-9.710300
D111A,1.955350,-8.499450
D111A,3.050790,-9.599700
D111A,3.416450,-10.892700
D111A,4.191430,-12.149810
D111A,3.716110,-11.892360
D111A,3.567940,-10.190810
D111A,3.320150,-10.525560
D111A,3.144230,-10.111330
D111A,3.209240,-10.657150
D111A,3.422840,-10.223090
D111A,2.673670,-9.098860
D111A,3.273690,-9.673940
D111A,3.734130,-10.209390
D111A,3.457520,-10.050600
D111A,2.907930,-7.409920
D111A,1.582350,-6.406910
D111A,1.237460,-6.282430
D111A,2.133070,-7.842420
D111A,2.645640,-9.318580
D111A,3.084950,-10.222620
D111A,2.724280,-8.649070
D111A,1.299330,-6.787960
D111A,1.136280,-6.475270
D111A,1.288710,-5.990440
D111A,2.152260,-8.197730
D111A,2.059390,-7.892100
D111A,2.961680,-10.870890
D111A,2.029170,-10.307390
D111A,2.635530,-9.411380
D111A,2.053630,-7.176000
D111A,1.218180,-5.120080
D111A,1.937120,-6.307790
D111A,1.295430,-6.731170
D111A,2.891880,-9.956070
D111A,3.367300,-9.750740
D111A,2.814770,-8.608810
D111A,3.435590,-9.597860
D111A,3.455300,-9.620280
D111A,3.625090,-9.477230
D111A,3.742350,-9.678390
D111A,2.846310,-8.275690
D111A,3.514750,-9.122630
D111A,2.767550,-7.321330
D111A,3.996110,-9.444810
D111A,4.784150,-12.195250
D111A,4.065820,-10.909910
D111A,4.833100,-11.814290
D111A,4.521960,-11.276770
D111A,4.432620,-12.343380
D111A,4.792910,-11.559890
D111A,3.662450,-11.774630
D111A,4.681460,-12.639130
D111A,5.296570,-12.798730
D111A,4.795460,-12.831340
D111A,4.929620,-13.942850
D111A,5.199050,-14.511480
D111A,5.300770,-14.420030
D111A,4.720470,-14.375480
D111A,3.678390,-12.861390
D111A,3.998580,-12.965720
D111A,3.297940,-12.534810
D111A,4.204410,-12.899970
D111A,4.206450,-12.344960
D111A,4.048260,-12.231930
D111A,4.447640,-12.059990
D111A,4.483800,-11.651150
D111A,4.791500,-12.076850
D111A,4.208700,-11.613360
D111A,46.736620,27.431630
D111A,3.396760,-9.620740
D111A,4.795770,-12.152070
D111A,5.894990,-14.132470
D111A,4.613800,-12.623180
D111A,3.918790,-11.274740
D111A,4.428280,-12.264130
D111A,5.086190,-12.566200
D111A,4.015290,-12.807890
D111A,3.984380,-11.939260
D111A,4.917260,-12.502780
D111A,3.187870,-10.719340
D111A,4.492630,-12.303260
D111A,4.835550,-12.435550
D111A,3.514180,-10.119410
D111A,4.396790,-11.617380
D111A,4.129730,-10.934870
D111A,3.568820,-9.555820
D111A,4.140450,-11.082650
D111A,4.786110,-11.773030
D111A,4.567520,-12.094720
D111A,3.787310,-10.674930
D111A,3.170010,-9.919550
D111A,2.799020,-8.416240
D111A,2.378100,-8.533830
D111A,1.869990,-7.588360
D111A,1.915190,-8.283450
D111A,44.208270,26.124890
D111A,3.569510,-10.339320
D111A,3.544490,-9.801280
D111A,4.355810,-12.595660
D111A,4.000490,-11.454790
D111A,4.273940,-13.086010
D111A,4.363360,-12.853160
D111A,4.771250,-13.582620
D111A,4.571810,-13.559510
D111A,4.584070,-12.956380
D111A,3.590340,-12.055200
D111A,4.352550,-13.089280
D111A,4.855570,-13.932440
D111A,5.330120,-14.343370
D111A,3.303770,-12.395350
D111A,3.750420,-12.199210
D111A,4.153730,-13.242620
D111A,4.767530,-14.312330
D111A,4.604960,-13.762150
D111A,3.830150,-13.035280
D111A,5.045000,-13.376080
D111A,4.738340,-13.821280
D111A,5.083770,-13.850000
D111A,4.152240,-12.837760
D111A,3.616090,-11.248950
D111A,45.824670,22.937150
D111A,46.791550,24.033800
D111A,2.922660,-10.968980
D111A,3.888980,-11.964790
D111A,46.697840,26.434770
D111A,47.460730,26.625490
D111A,46.096310,27.786280
D111A,3.276460,-9.900480
D111A,2.560120,-10.111960
D111A,47.401740,27.404520
D111A,49.414150,27.309910
D111A,47.197510,27.919250
D111A,46.589440,27.891520
D111A,49.603320,28.829870
D111A,49.600640,28.698390
D111A,3.533780,-11.839870
D111A,50.459700,28.195820
D111A,50.501320,28.182620
D111A,50.156090,27.817470
D111A,51.022970,28.418340
D111A,51.762740,28.832000
D111A,54.309860,27.451640
D111A,54.824920,27.414790
D111A,53.961730,26.755160
D111A,53.750510,27.702350
D111A,53.144260,27.443980
D111A,53.080890,26.170010
D111A,51.953330,25.471230
D111A,53.233750,24.907460
D111A,52.184100,24.807150
D111A,49.783360,24.436350
D111A,51.850640,23.850490
D111A,50.534720,25.134760
D111A,49.417680,24.768630
D111A,51.769920,24.226270
D111A,52.445920,24.385660
D111A,52.525970,24.501650
D111A,51.919840,27.048570
D111A,51.249080,27.152560
D111A,50.204630,27.047290
D111A,3.187820,-10.714580
D111A,4.425480,-11.751090
D111A,3.857020,-11.302890
D111A,3.437120,-9.718590
D111A,4.024280,-10.975050
D111A,3.653740,-10.558610
D111A,3.984420,-11.243720
D111A,3.706020,-11.396260
D111A,3.813770,-11.610140
D111A,4.191270,-11.566170
D111A,49.288620,23.581630
D111A,50.833680,24.307930
D111A,50.013530,25.259920
D111A,4.115960,-9.142490
D111A,51.371540,25.930980
D111A,1.889300,-6.793610
D111A,52.337970,26.501110
D111A,53.559670,26.767980
D111A,52.853280,26.528630
D111A,52.103020,26.878600
D111A,51.442750,27.105010
D111A,52.923160,27.282840
D111A,51.400890,27.221560
D111A,4.010530,-9.252960
D111A,50.678970,26.435580
D111A,50.382290,25.974930
D111A,52.693160,26.665560
D111A,52.659400,26.220070
D111A,50.028140,26.463480
D111A,3.324570,-9.343850
D111A,4.453850,-10.488300
D111A,4.126000,-10.423200
D111A,3.842130,-10.356550
D111A,3.355650,-9.858340
D111A,2.643910,-10.204070
D111A,3.661890,-11.311680
D111A,3.920280,-11.143850
D111A,2.113020,-9.346240
D111A,2.714570,-10.780840
D111A,3.632090,-12.318670
D111A,3.245200,-11.731650
D111A,2.599800,-10.981830
D111A,3.404720,-12.258850
D111A,1.196040,-10.067430
D111A,-0.191310,-9.034570
D111A,1.427680,-11.105630
D111A,52.319430,25.917420
D111A,3.109480,-12.024580
D111A,52.456360,25.762510
D111A,52.438800,26.062260
D111A,49.694960,26.836650
D111A,47.462620,27.136830
D111A,47.153800,27.057930
D111A,47.072700,26.589570
D111A,49.099630,27.309760
D111A,46.651080,26.974590
D111A,48.938380,27.232750
D111A,50.778790,26.950010
D111A,51.612800,26.351310
D111A,51.002870,26.701310
D111A,51.401230,26.022190
D111A,49.517380,26.094490
D111A,46.974280,26.414500
D111A,44.409650,26.889980
D111A,46.715940,27.131980
D111A,46.180690,27.180780
D111A,45.942020,26.934590
D111A,45.699830,26.681960
D111A,47.367830,27.329240
D111A,48.984390,26.745330
D111A,51.369050,26.539030
D111A,50.286140,26.672080
D111A,53.417640,26.035140
D111A,50.432930,26.585170
D111A,51.670470,25.564890
D111A,50.976700,26.218520
D111A,48.415270,26.319570
D111A,46.584020,27.106450
D111A,43.717740,26.339940
D111A,43.192810,26.445370
D111A,43.224840,26.132170
D111A,42.149310,25.712790
D111A,40.612750,24.136880
D111A,40.792760,23.526480
D111A,40.684500,23.272630
D111A,41.638440,23.045550
D111A,-1.491920,-3.389320
D111A,-3.165560,0.429160
D111A,-2.547790,0.146970
D111A,-1.524630,-1.199300
D111A,-3.256510,1.645690
D111A,-3.134620,2.271300
D111A,-1.478340,-1.074650
D111A,-2.559480,-1.256560
D111A,-3.106090,-1.096920
D111A,-3.036640,-2.490310
D111A,-4.565610,-1.709570
D111A,-4.206360,-2.565660
D111A,-3.708030,-2.444780
D111A,-4.353770,-0.642680
D111A,-4.054370,-2.459480
D111A,-3.029980,-2.988440
D111A,-2.569580,-3.847070
D111A,-2.926460,-3.636440
D111A,-2.945620,-4.290840
D111A,-4.354150,0.144640
D111A,-4.622790,-0.122740
D111A,-5.602060,0.047570
D111A,-4.301050,-2.235830
D111A,-2.822640,-3.066560
D111A,-3.246650,-2.478610
D111A,-3.528490,-2.022930
D111A,-3.960830,-1.817890
D111A,-3.205720,-3.498450
D111A,-4.447900,0.037410
D111A,-5.181680,0.909370
D111A,-4.537500,0.358650
D111A,-6.595700,2.737780
D111A,-7.902240,4.983640
D111A,-6.924130,3.440510
D111A,-6.631600,2.723850
D111A,-6.294410,3.030850
D111A,-7.686050,4.206620
D111A,-6.516040,3.079860
D111A,-6.175040,3.457380
D111A,-7.235920,3.171560
D111A,-7.280200,3.136460
D111A,-9.498570,6.435450
D111A,-9.888550,6.993360
D111A,-11.219000,7.793010
D111A,-10.300290,7.142540
D111A,-10.173880,7.377360
D111A,-10.397950,5.603440
D111A,-9.620320,5.993580
D111A,-10.543820,6.091340
D111A,-11.893280,8.376920
D111A,-11.399240,8.926200
D111A,-12.292760,9.846240
D111A,-12.220460,10.156000
D111A,-12.306470,10.875230
D111A,-12.829830,10.274440
D111A,-11.814830,9.330330
D111A,-11.757910,8.699340
D111A,-11.521300,8.490620
D111A,-11.558790,9.095210
D111A,-11.557130,8.820070
D111A,-10.819250,8.421190
D111A,-11.144440,9.674400
D111A,-11.649490,9.918660
D111A,-11.616030,9.105410
D111A,-11.417410,9.241480
D111A,-11.142700,8.603820
D111A,-10.812220,7.577270
D111A,-11.136250,5.718510
D111A,-10.490780,6.353970
D111A,-11.088000,6.499950
D111A,-9.634600,5.662580
D111A,-10.179200,6.342680
D111A,-9.335830,5.681450
D111A,-10.431200,7.286550
D111A,-10.506830,6.453470
D111A,-10.088750,6.769260
D111A,-10.015890,5.981820
D111A,-10.995890,7.771040
D111A,-10.703580,6.691810
D111A,-12.056550,8.050930
D111A,-11.763780,7.682750
D111A,-11.981810,10.151820
D111A,-11.699450,8.511200
D111A,-11.209690,7.803240
D111A,-11.723350,7.966070
D111A,-11.492480,9.270520
D111A,-11.598110,8.580400
D111A,-11.978070,9.309900
D111A,-12.036130,9.295170
D111A,-11.515980,8.737020
D111A,-11.054500,9.262950
D111A,-11.588380,9.215180
D111A,-11.205980,8.616410
D111A,-12.038020,8.402430
D111A,-12.194530,7.582270
D111A,-11.737530,8.111050
D111A,-12.088010,8.258780
D111A,-12.057130,8.305920
D111A,-12.109120,7.740750
D111A,-12.748670,9.040850
D111A,-12.135680,8.013230
D111A,-12.089170,8.417910
D111A,-12.058910,7.359510
D111A,-12.282140,8.738080
D111A,-12.116820,8.424790
D111A,-12.123610,8.226860
D111A,-12.400170,9.194780
D111A,-12.574090,8.675400
D111A,-12.011570,9.307490
D111A,-12.256520,8.525690
D111A,-12.329640,9.036680
D111A,-12.518980,8.362950
D111A,-12.689100,9.190690
D111A,-12.704240,8.842590
D111A,-12.686910,8.510370
D111A,-12.650160,8.698430
D111A,-11.823340,8.413240
D111A,-11.822980,7.285660
D111A,-11.552380,7.566310
D111A,-11.968510,7.888440
D111A,-11.601350,7.387010
D111A,-12.314020,7.856310
D111A,-13.114560,9.089510
D111A,-11.792510,8.305030
D111A,-11.602830,8.952650
D111A,-11.711840,8.489150
D111A,-11.898950,10.041700
D111A,-11.810570,8.344550
D111A,-11.616480,8.628040
D111A,-12.687720,9.113710
D111A,-12.731810,8.251760
D111A,-12.142550,8.298550
D111A,-11.075940,5.799240
D111A,-12.025130,8.718430
D111A,-12.479000,8.323180
D111A,-12.616010,8.422130
D111A,-12.932120,8.590630
D111A,-12.639680,8.124790
D111A,-13.100210,9.540970
D111A,-13.270570,9.828200
D111A,-13.156540,10.087880
D111A,-13.144000,10.215590
D111A,-13.200180,10.418050
D111A,-12.924800,9.954230
D111A,-13.503480,11.964210
D111A,-12.891340,12.010560
D111A,-12.849140,11.470230
D111A,-13.211300,12.274750
D111A,-13.661050,11.901770
D111A,-12.767650,10.442090
D111A,-12.624390,9.846060
D111A,-13.216090,11.346790
D111A,-13.277930,11.231270
D111A,-13.433830,10.761000
D111A,-12.903240,12.800840
D111A,-13.229520,12.247460
D111A,-12.981190,11.393190
D111A,-12.981900,11.943710
D111A,-12.899930,11.699290
D111A,-13.117930,11.512040
D111A,-12.747910,11.014970
D111A,-12.699250,10.376470
D111A,-12.634870,10.311260
D111A,-12.663130,10.933080
D111A,-12.667830,10.502050
D111A,-12.845720,10.584120
D111A,-13.202150,12.769020
D111A,-13.455870,11.520390
D111A,-13.232910,11.996290
D111A,-12.897560,11.086680
D111A,-13.279080,11.141920
D111A,-12.991780,11.248930
D111A,-13.422850,11.893870
D111A,-12.870810,12.782980
D111A,-13.356040,12.387020
D111A,-12.853360,13.065320
D111A,-13.331590,13.065350
D111A,-13.014650,11.993890
D111A,-13.202200,12.867310
D111A,-13.133850,12.640250
D111A,-13.175480,12.398780
D111A,-13.522960,13.333990
D111A,-13.317130,11.304520
D111A,-12.531800,10.451860
D111A,-13.144500,11.878210
D111A,-12.363930,11.141610
D111A,-11.586370,10.545670
D111A,-12.474940,12.272380
D111A,-12.913860,12.358630
D111A,-12.972710,13.724180
D111A,-12.994400,13.392300
D111A,-12.728660,12.890180
D111A,-12.914510,13.558540
D111A,-12.910240,13.463250
D111A,-12.755910,14.435660
D111A,-12.633190,12.602470
D111A,-12.058760,12.850810
D111A,-11.977790,12.310660
D111A,-12.975860,14.071770
D111A,-13.179320,13.512850
D111A,-13.719520,13.165660
D111A,-13.017960,13.949000
D111A,-13.431120,14.433740
D111A,-13.632430,14.813200
D111A,-13.154820,14.513220
D111A,-13.281310,14.837340
D111A,-12.882220,12.820430
D111A,-13.318410,14.414220
D111A,-12.575660,13.908680
D111A,-12.902750,13.878830
D111A,-12.322300,12.190110
D111A,-12.384140,12.973060
D111A,-12.877010,12.313660
D111A,-12.762090,11.597640
D111A,-11.970870,12.155960
D111A,-12.687670,12.616160
D111A,-12.898400,12.730230
D111A,-12.407970,12.225480
D111A,-13.053850,12.710190
D111A,-12.840250,13.336690
D111A,-13.326960,13.214630
D111A,-12.967870,12.980720
D111A,-12.644620,13.661720
D111A,-12.873540,14.265960
D111A,-12.310220,13.270360
D111A,-12.264290,12.891700
D111A,-12.259730,12.471190
D111A,-12.382490,12.471610
D111A,-12.424790,13.530490
D111A,-12.667400,12.422130
D111A,-12.950110,13.833540
D111A,-12.814420,11.673750
D111A,-13.168300,12.615610
D111A,-12.960190,12.096010
D111A,-12.879930,11.140710
D111A,-12.605450,13.161270
D111A,-12.911810,12.615760
D111A,-12.842730,12.795970
D111A,-13.122410,12.138140
D111A,-12.983760,13.063130
D111A,-12.486060,13.193970
D111A,-12.663000,13.073420
D111A,-13.118050,13.265730
D111A,-13.080660,12.600520
D111A,-13.189910,12.702430
D111A,-12.965810,11.856450
D111A,-12.919480,12.564580
D111A,-13.323610,12.998200
D111A,-13.005110,12.733320
D111A,-12.532320,12.737630
D111A,-12.769900,11.947870
D111A,-13.034530,12.852120
D111A,-12.975320,13.087560
D111A,-13.425420,12.590790
D111A,-13.201540,12.933880
D111A,-13.370510,13.365450
D111A,-12.785020,12.866050
D111A,-12.563400,13.208000
D111A,-13.252530,13.445320
D111A,-12.519470,13.308410
D111A,-12.840380,11.856910
D111A,-12.879800,12.023600
D111A,-13.119630,12.401000
D111A,-13.044890,12.577320
D111A,-12.730690,12.479440
D111A,-13.268170,13.407460
D111A,-13.261080,13.122980
D111A,-13.098940,14.267290
D111A,-12.912320,14.275430
D111A,-12.656460,12.743850
D111A,-12.773030,13.545870
D111A,-13.071030,12.818930
D111A,-13.206100,12.565320
D111A,-12.774530,12.836220
D111A,-13.167610,13.743320
D111A,-13.203980,13.822940
D111A,-12.823500,13.291740
D111A,-12.708000,11.684090
D111A,-12.842150,11.909000
D111A,-12.816360,11.613910
D111A,-13.542760,12.745830
D111A,-12.874710,11.860050
D111A,-13.099430,13.092330
D111A,-13.405550,12.995200
D111A,-13.645330,12.550090
D111A,-13.476600,11.923000
D111A,-13.116390,12.001630
D111A,-13.349850,12.307750
D111A,-12.837340,13.611050
D111A,-13.280740,12.189790
D111A,-13.439060,13.265200
D111A,-12.986330,12.836350
D111A,-13.273200,13.676080
D111A,-13.206580,13.346990
D111A,-12.999700,12.905370
D111A,-12.754080,13.280300
