System,TIC1,TIC2
WT,-1.867873,-0.324742
WT,-2.137435,-0.147769
WT,-1.856045,0.074890
WT,-1.792592,0.338219
WT,-1.940060,0.015393
WT,-1.603341,0.194795
WT,-1.660804,0.422871
WT,-1.623521,0.252343
WT,-1.533887,-0.069326
WT,-1.868645,0.209166
WT,-1.596913,0.292465
WT,-1.488980,0.246483
WT,-1.749256,0.289756
WT,-1.804223,-0.026985
WT,-1.723021,0.322421
WT,-1.691742,0.128950
WT,-1.674022,0.036256
WT,-1.769581,0.113905
WT,-1.532543,-0.228241
WT,-1.714567,0.112399
WT,-1.660528,0.221757
WT,-1.736005,-0.047502
WT,-1.676401,-0.378631
WT,-1.634624,-0.028919
WT,-1.517091,0.046365
WT,-1.531026,0.133549
WT,-1.679024,0.010763
WT,-1.412993,-0.106238
WT,-1.534688,0.172697
WT,-1.648852,0.274922
WT,-1.523328,0.083577
WT,-1.680546,0.204444
WT,-1.663751,0.065036
WT,-1.554869,-0.016499
WT,-1.463345,0.074187
WT,-1.706356,-0.085880
WT,-1.573678,0.058219
WT,-1.849662,0.271044
WT,-1.505671,0.342891
WT,-1.572398,-0.017059
WT,-1.549403,0.440475
WT,-1.418933,0.089333
WT,-1.342587,0.185656
WT,-1.679186,0.152340
WT,-1.361850,0.028276
WT,-1.293797,-0.161660
WT,-1.141183,0.091468
WT,-1.197476,0.014370
WT,-1.120363,0.264158
WT,-1.411895,-0.046040
WT,-1.102424,0.136322
WT,-1.196580,-0.053100
WT,-1.151549,-0.002811
WT,-1.274186,-0.041111
WT,-1.396507,-0.013939
WT,-1.201135,-0.063106
WT,-1.095574,0.028773
WT,-1.167427,-0.082113
WT,-1.228529,-0.230408
WT,-1.111839,0.080888
WT,-1.150234,0.146659
WT,-1.269129,-0.240532
WT,-1.207032,-0.066429
WT,-1.356612,-0.103349
WT,-1.473526,0.004712
WT,-1.374240,-0.104213
WT,-1.361578,-0.168465
WT,-1.318551,-0.304623
WT,-1.156977,-0.202588
WT,-0.999928,-0.040991
WT,-1.188134,0.193262
WT,-1.031195,-0.068210
WT,-1.112410,0.282912
WT,-1.042769,0.273816
WT,-0.868442,0.176263
WT,-0.986090,0.199355
WT,-1.356838,0.510848
WT,-0.768085,0.431474
WT,-0.724554,0.400116
WT,-1.138585,0.337170
WT,-0.678262,0.067739
WT,-0.984721,0.577362
WT,-0.977331,0.499884
WT,-1.042671,0.519943
WT,-1.058014,0.536264
WT,-0.949110,0.557401
WT,-0.986994,0.406606
WT,-1.158777,0.549174
WT,-0.725248,0.327355
WT,-1.024255,0.530102
WT,-1.157363,0.606337
WT,-1.069307,0.963194
WT,-1.230485,0.894646
WT,-1.408683,0.703571
WT,-1.460554,0.965833
WT,-1.403496,0.829804
WT,-1.386571,0.740386
WT,-1.207640,0.778148
WT,-1.269051,0.736925
WT,-1.149136,0.887599
WT,-1.235586,0.888026
WT,-1.406980,0.698673
WT,-1.132679,0.953217
WT,-1.301742,0.616422
WT,-1.285899,0.935119
WT,-1.393049,0.482715
WT,-1.423637,0.631694
WT,-1.195801,0.852157
WT,-1.405148,0.746247
WT,-1.185531,0.919328
WT,-1.143148,0.760849
WT,-1.262583,0.725646
WT,-1.087963,0.913634
WT,-1.380719,0.684323
WT,-1.379442,0.837674
WT,-1.490552,0.665858
WT,-1.447157,0.674570
WT,-1.259293,0.722962
WT,-1.308438,0.914850
WT,-1.383318,0.822634
WT,-1.496987,0.709687
WT,-1.526035,0.471325
WT,-1.357895,0.640808
WT,-1.422177,0.618703
WT,-1.189181,0.808234
WT,-1.201320,0.509551
WT,-1.218896,0.445894
WT,-1.025031,0.768307
WT,-0.860369,0.798112
WT,-0.884125,0.935972
WT,-0.965551,0.828621
WT,-1.122014,0.470575
WT,-1.120085,0.550652
WT,-0.764547,0.571670
WT,-1.240115,1.137865
WT,-1.094979,0.423999
WT,-0.944156,0.962223
WT,-0.659955,0.780376
WT,-1.046767,0.504040
WT,-0.913731,0.975676
WT,-0.943425,0.945346
WT,-1.002677,0.899117
WT,-1.052246,0.910694
WT,-0.853096,0.939816
WT,-0.739643,0.750612
WT,-0.726173,0.590858
WT,-0.590031,0.556586
WT,-0.710202,0.558941
WT,-0.398127,0.447637
WT,-0.331162,0.651544
WT,-0.446198,0.631891
WT,-0.687999,0.637112
WT,-0.627343,0.704985
WT,-0.419083,0.734282
WT,-0.361401,0.526312
WT,-0.414771,0.743706
WT,-0.419980,0.440356
WT,-0.512587,0.738770
WT,-0.223249,0.541926
WT,-0.220049,0.443919
WT,-0.230462,0.158525
WT,-0.393020,0.623712
WT,-0.290999,0.587431
WT,-0.389168,0.539315
WT,-0.215418,0.403932
WT,-0.236777,0.599351
WT,-0.167047,0.302791
WT,-0.314045,0.665755
