System,TIC1,TIC2
WT,0.517704,-0.765238
WT,0.829093,-0.667849
WT,0.577675,-0.440507
WT,0.559967,-0.508445
WT,0.811396,-1.037731
WT,0.710650,-0.868176
WT,0.698752,-1.191260
WT,0.483467,-1.100803
WT,0.714528,-0.998378
WT,0.827681,-1.458028
WT,0.767647,-1.105010
WT,0.930621,-1.187055
WT,0.905004,-1.328006
WT,0.847176,-1.164520
WT,0.706247,-1.307623
WT,0.739109,-1.411065
WT,0.778870,-1.202318
WT,0.921450,-1.161626
WT,0.842840,-1.384733
WT,0.931698,-1.578923
WT,0.883066,-1.429994
WT,0.775370,-1.265991
WT,0.716420,-1.349420
WT,0.792973,-1.485882
WT,0.659300,-1.605161
WT,0.626396,-1.574887
WT,0.609985,-1.835610
WT,0.859450,-1.528241
WT,0.813281,-1.345979
WT,1.016296,-1.241170
WT,1.013370,-1.313522
WT,0.912016,-1.623668
WT,0.757852,-1.492460
WT,0.572758,-1.238307
WT,0.954757,-1.190535
WT,0.770263,-1.679917
WT,0.740197,-1.354982
WT,0.609578,-1.585310
WT,0.851404,-1.513384
WT,0.686935,-1.727368
WT,0.697648,-1.746813
WT,0.546629,-1.453404
WT,0.521925,-1.250138
WT,0.225826,-1.576325
WT,0.324798,-1.730209
WT,0.271130,-1.639260
WT,0.304979,-1.736878
WT,0.413061,-1.842899
WT,0.370159,-1.672307
WT,0.254354,-1.560560
WT,0.415221,-1.578609
WT,0.426312,-1.343923
WT,0.438369,-1.775567
WT,0.226539,-1.399200
WT,0.196200,-1.445033
WT,0.306420,-1.211914
WT,0.226711,-1.416077
WT,0.331816,-1.357369
WT,0.341682,-1.363485
WT,0.209868,-1.280052
WT,0.354674,-1.253237
WT,0.288991,-1.247927
WT,0.266193,-1.426279
WT,0.265680,-1.313535
WT,0.181571,-1.025480
WT,0.102824,-1.624966
WT,-0.113075,-1.540897
WT,0.008461,-1.474354
WT,0.154342,-1.770781
WT,0.172510,-1.500658
WT,0.348897,-1.944645
WT,0.503916,-2.064159
WT,0.235759,-1.828848
WT,0.195402,-1.911077
WT,0.288914,-1.711949
WT,0.194779,-1.372077
WT,0.340998,-1.570974
WT,0.296188,-1.853337
WT,0.190106,-1.537217
WT,0.025409,-1.666354
WT,0.202277,-1.562263
WT,0.119633,-1.432258
WT,0.025101,-1.170113
WT,-0.017222,-1.361393
WT,0.197848,-1.661801
WT,0.238627,-1.662693
WT,0.177835,-1.604784
WT,0.210979,-1.583635
WT,0.042815,-1.746483
WT,0.113391,-1.375994
WT,0.112571,-1.619375
WT,0.061773,-1.633214
WT,0.027173,-1.365387
WT,-0.120870,-1.791577
WT,0.119640,-1.506057
WT,0.550584,-1.695876
WT,0.293058,-1.518146
WT,0.130858,-1.457591
WT,0.166542,-1.687051
WT,0.130158,-2.030926
WT,0.364092,-1.742850
WT,0.124923,-2.081253
WT,0.148922,-1.781291
WT,0.167090,-1.646653
WT,0.236124,-1.990697
WT,0.304220,-2.117046
WT,0.203249,-1.773871
WT,0.375802,-1.821886
WT,0.107472,-1.657614
WT,0.274807,-1.976044
WT,0.001655,-1.630472
WT,-0.121089,-1.942022
WT,-0.109927,-1.859729
WT,-0.022406,-1.974286
WT,0.232634,-2.176935
WT,-0.165894,-1.797277
WT,0.279654,-2.035912
WT,0.074585,-1.822854
WT,0.603948,-2.105866
WT,0.549867,-2.040015
WT,0.070887,-1.943255
WT,0.401356,-2.125224
WT,0.211597,-2.161117
WT,0.596760,-2.224017
WT,0.469978,-2.252508
WT,0.292270,-1.976411
WT,0.413397,-1.823737
WT,0.554908,-1.787169
WT,0.508548,-2.081952
WT,0.427572,-1.951415
WT,0.045852,-1.860340
WT,0.500659,-2.025161
WT,0.419381,-2.465642
WT,0.557749,-2.487789
WT,0.590806,-2.222083
WT,0.490337,-2.238815
WT,0.606583,-2.045200
WT,0.191778,-2.305170
WT,0.244037,-2.347831
WT,0.436036,-2.349824
WT,0.610556,-1.840361
WT,0.302140,-2.232820
WT,0.476707,-2.274855
WT,0.333770,-2.281859
WT,0.382739,-2.024325
WT,0.161881,-2.185517
WT,0.479126,-2.049697
WT,0.467476,-1.996401
WT,0.256726,-2.285028
WT,0.135009,-2.614452
WT,0.282889,-2.094272
WT,0.128920,-2.280001
WT,0.435621,-2.418160
WT,0.419970,-2.278514
WT,0.412026,-2.321038
WT,0.133739,-2.510059
WT,0.217811,-2.546412
WT,0.157564,-2.379118
WT,0.254657,-2.437244
WT,0.258525,-2.241947
WT,0.339657,-2.476434
WT,0.375324,-2.211338
WT,0.295226,-2.482301
WT,0.562232,-2.426103
WT,0.413442,-2.502020
WT,0.438492,-2.476436
WT,0.446862,-2.788536
WT,0.399839,-2.946673
WT,0.391468,-2.646008
WT,0.341194,-2.393795
WT,0.483640,-2.481404
WT,0.306792,-2.622544
WT,0.399403,-2.530614
WT,0.461639,-2.067397
WT,0.442083,-2.353513
WT,0.318929,-2.463725
WT,0.566852,-2.160611
WT,0.545436,-2.296454
WT,0.504277,-2.315651
WT,0.554907,-2.274162
WT,0.504669,-2.310718
WT,0.190944,-2.159135
WT,0.166198,-2.186993
WT,0.239194,-2.430828
WT,0.260323,-2.296046
WT,0.066743,-2.223248
WT,0.083198,-2.050542
WT,0.262163,-2.011018
WT,0.329863,-2.157010
WT,0.139002,-2.093231
WT,0.207038,-2.374521
WT,0.259261,-2.252501
WT,0.296802,-2.195685
WT,0.378786,-2.107950
WT,0.250880,-2.117962
WT,0.190748,-2.063251
WT,0.098963,-2.380927
WT,0.224274,-2.098774
WT,0.142737,-1.725930
WT,0.136875,-1.769005
WT,-0.001603,-1.886317
WT,0.206600,-2.022355
WT,0.266001,-1.933829
WT,0.428968,-1.804829
WT,0.467226,-1.807271
WT,0.351767,-1.631361
WT,0.247461,-2.081329
WT,0.155088,-1.716433
WT,0.062537,-1.787210
WT,-0.131980,-1.553149
WT,0.195737,-1.447534
WT,0.163433,-1.441392
WT,0.141210,-1.484600
WT,0.292464,-1.810494
WT,0.075129,-1.763562
WT,0.018170,-1.176820
WT,0.150894,-1.344958
WT,0.226018,-1.162280
WT,0.109155,-1.062777
WT,-0.020657,-1.075290
WT,0.010247,-0.999207
WT,-0.052945,-0.470021
WT,0.125477,-0.792233
WT,0.155549,-0.525965
WT,-0.084126,-0.471898
WT,0.122696,-0.334373
WT,0.178151,-0.545421
WT,0.093835,-0.244524
WT,-0.050500,-0.801757
WT,-0.223749,-0.517261
WT,0.110484,-0.505966
WT,-0.100476,-0.554641
WT,-0.066674,-0.409684
WT,0.019850,-0.459329
WT,-0.107128,-0.165226
WT,-0.158760,-0.780292
WT,-0.144159,-0.426251
WT,-0.076008,-0.875866
WT,0.144531,-1.317726
WT,0.300945,-0.899465
WT,-0.241090,-0.997517
WT,-0.075762,-0.761825
WT,-0.006429,-0.651968
WT,0.057544,-0.730240
WT,-0.113523,-0.609837
WT,-0.127553,-0.676220
WT,-0.326345,-0.811167
WT,0.039398,-0.802853
WT,-0.339043,-0.824740
WT,-0.233524,-1.213673
WT,-0.274616,-0.949299
WT,-0.169931,-0.598050
WT,-0.372922,-0.580013
WT,-0.106033,-0.958036
WT,-0.533083,-0.674751
WT,-0.196301,-0.854932
WT,-0.187296,-0.747288
WT,-0.219344,-1.291983
WT,-0.540050,-0.700820
WT,-0.424602,-0.772947
WT,-0.636439,-0.645584
WT,-0.801371,-0.792016
WT,-0.811575,-0.673442
WT,-0.571927,-0.587260
WT,-1.043566,-0.721302
WT,-0.805703,-0.813004
WT,-0.786188,-0.517579
WT,-0.764551,-0.643416
WT,-0.648683,-0.724198
WT,-0.673916,-0.641297
WT,-0.622286,-0.513789
WT,-0.574326,-0.810881
WT,-0.511104,-0.554735
WT,-0.628594,-0.797377
WT,-0.566141,-0.929900
WT,-0.474338,-0.447303
WT,-0.631282,-0.574133
WT,-0.672761,-0.627012
WT,-0.582904,-0.797893
WT,-0.573323,-0.488644
WT,-0.516038,-0.580924
WT,-0.692452,-0.588520
WT,-0.561927,-0.724215
WT,-0.803088,-0.905065
WT,-1.003935,-0.707228
WT,-1.062627,-0.735873
WT,-0.705801,-0.735792
WT,-0.933799,-0.528672
WT,-0.825194,-0.645363
WT,-0.667728,-0.465462
WT,-0.389363,-0.722348
WT,-0.655265,-0.549594
WT,-0.590151,-0.458224
WT,-0.632828,-0.731123
WT,-0.828717,-0.646122
WT,-0.785390,-0.582041
WT,-0.544487,-0.575403
WT,-0.607003,-0.431878
WT,-0.660358,-0.569942
WT,-0.375564,-0.490740
WT,-0.688890,-0.163239
WT,-0.783107,-0.439041
WT,-0.814119,-0.470821
WT,-0.773608,-0.463268
WT,-0.572648,-0.468337
WT,-0.649101,-1.042036
WT,-0.608265,-0.778019
WT,-0.453524,-0.497230
WT,-0.485863,-0.655893
WT,-0.659388,-1.097361
WT,-0.675310,-0.854624
WT,-0.753094,-0.361458
WT,-0.542645,-0.596518
WT,-0.686624,-0.768818
WT,-0.562686,-0.966157
WT,-0.692190,-0.495381
WT,-0.660067,-0.888989
WT,-0.729825,-0.614571
WT,-0.687734,-0.490393
WT,-0.779011,-0.543124
WT,-0.685175,-0.740184
WT,-0.667216,-1.016078
WT,-0.931867,-0.981575
WT,-0.720226,-0.721101
WT,-1.005454,-0.850812
WT,-0.627989,-0.903392
WT,-0.774165,-0.703712
WT,-0.632711,-0.683509
WT,-0.897980,-0.658962
WT,-0.751679,-0.903239
WT,-0.858429,-0.825112
WT,-0.848495,-0.880042
WT,-0.608654,-0.853384
WT,-0.517659,-0.736073
WT,-0.456600,-0.611944
WT,-0.583205,-0.841151
WT,-0.666598,-0.647406
WT,-1.070059,-0.896524
WT,-0.714869,-0.669400
WT,-0.631390,-0.630670
WT,-0.936083,-0.983479
WT,-0.649226,-0.840195
WT,-0.715457,-0.974278
WT,-0.816030,-0.749870
WT,-0.767998,-0.922673
WT,-0.728258,-1.019759
WT,-0.646012,-0.933831
WT,-0.868859,-0.962872
WT,-0.836865,-0.824647
WT,-0.572842,-0.878352
WT,-0.804263,-0.748990
WT,-0.799964,-1.082737
WT,-0.773982,-0.950814
WT,-1.013976,-0.855377
WT,-0.882687,-0.751469
WT,-0.824616,-1.094328
WT,-0.605928,-1.172061
WT,-0.778475,-0.547048
WT,-0.775699,-0.693342
WT,-0.637849,-1.062691
WT,-0.663274,-1.010348
WT,-0.573659,-0.897453
WT,-0.578585,-1.152663
WT,-0.745833,-0.927915
WT,-0.773639,-0.677059
WT,-0.793253,-0.884386
D111A,0.526285,-1.423157
D111A,0.503371,-1.462222
D111A,0.336095,-1.126884
D111A,0.449618,-1.225937
D111A,0.404981,-0.993868
D111A,0.394207,-0.979665
D111A,0.383508,-0.908690
D111A,0.413406,-0.949600
D111A,0.483529,-1.112008
D111A,0.491420,-1.108079
D111A,0.544090,-1.466200
D111A,0.378206,-1.156933
D111A,0.459850,-0.837798
D111A,0.513265,-1.215295
D111A,0.472206,-1.102261
D111A,0.382218,-1.275913
D111A,0.381662,-1.578168
D111A,0.425577,-1.295271
D111A,0.402759,-1.309151
D111A,0.363367,-1.089126
D111A,0.327161,-1.612925
D111A,0.371997,-1.323157
D111A,0.412015,-1.252962
D111A,0.317301,-1.203938
D111A,0.362069,-1.153505
D111A,0.392787,-1.243438
D111A,0.350733,-1.533782
D111A,0.418751,-1.288698
D111A,0.415024,-1.265840
D111A,0.480912,-1.215000
D111A,0.433673,-1.297264
D111A,0.431748,-1.261242
D111A,0.480037,-1.302379
D111A,0.366405,-1.446636
D111A,0.417357,-1.629251
D111A,0.450800,-1.286623
D111A,0.398573,-1.435676
D111A,0.438586,-1.399461
D111A,0.407069,-1.420347
D111A,0.295631,-1.841343
D111A,0.343595,-1.989461
D111A,0.463291,-1.311190
D111A,0.502256,-1.656191
D111A,0.400663,-1.452108
D111A,0.416289,-1.454615
D111A,0.430233,-1.609950
D111A,0.385009,-1.693429
D111A,0.327677,-1.608634
D111A,0.428713,-1.466516
D111A,0.412181,-1.473370
D111A,0.400145,-1.578371
D111A,0.307918,-1.542319
D111A,0.373636,-1.674292
D111A,0.380386,-1.554521
D111A,0.364823,-1.606608
D111A,0.458333,-1.523560
D111A,0.403977,-1.820256
D111A,0.412289,-1.627270
D111A,0.435574,-1.545257
D111A,0.466006,-1.724942
D111A,0.416960,-1.888865
D111A,0.353730,-1.607959
D111A,0.348090,-1.538499
D111A,0.425037,-1.835303
D111A,0.369099,-1.880237
D111A,0.404803,-1.805943
D111A,0.420148,-2.229673
D111A,0.429742,-1.765480
D111A,0.340825,-1.683300
D111A,0.377386,-1.748780
D111A,0.398084,-1.572874
D111A,0.365287,-1.602109
D111A,0.384905,-1.872998
D111A,0.397885,-1.904449
D111A,0.448074,-1.701390
D111A,0.422735,-1.630316
D111A,0.491166,-1.948414
D111A,0.490126,-1.659839
D111A,0.436261,-1.350362
D111A,0.521043,-1.548257
D111A,0.505747,-1.686675
D111A,0.547855,-1.538957
D111A,0.530753,-1.811736
D111A,0.488968,-1.846365
D111A,0.535605,-2.043591
D111A,0.467961,-1.835192
D111A,0.516897,-2.050167
D111A,0.465692,-1.843015
D111A,0.600186,-2.027438
D111A,0.479329,-1.775633
D111A,0.470646,-1.624527
D111A,0.450549,-1.648053
D111A,0.494721,-1.635739
D111A,0.463147,-1.871768
D111A,0.436392,-1.772084
D111A,0.599710,-1.699654
D111A,0.525165,-1.661020
D111A,0.446207,-1.807038
D111A,0.453527,-1.595215
D111A,0.517468,-1.805638
D111A,0.512063,-1.920640
D111A,0.444706,-1.699966
D111A,0.496928,-1.543444
D111A,0.453820,-1.872351
D111A,0.532665,-1.816664
D111A,0.459022,-1.901434
D111A,0.456120,-1.841483
D111A,0.430788,-1.856766
D111A,0.498156,-1.706199
D111A,0.483283,-1.689319
D111A,0.466281,-1.440817
D111A,0.478252,-1.769959
D111A,0.544385,-1.628015
D111A,0.570133,-1.650317
D111A,0.473372,-1.729414
D111A,0.542601,-1.854591
D111A,0.485639,-1.658335
D111A,0.523688,-1.776678
D111A,0.570345,-1.890537
D111A,0.543769,-1.957185
D111A,0.496399,-1.851153
D111A,0.495326,-1.833702
D111A,0.487887,-1.822507
D111A,0.523646,-1.679641
D111A,0.453914,-1.575324
D111A,0.501443,-1.665216
D111A,0.507254,-1.620331
D111A,0.627900,-1.903754
D111A,0.583860,-1.692890
D111A,0.555115,-1.727395
D111A,0.514748,-1.587404
D111A,0.335192,-1.955887
D111A,0.335600,-1.680624
D111A,0.443773,-2.048690
D111A,0.487175,-1.759979
D111A,0.517391,-2.146967
D111A,0.464448,-1.846172
D111A,0.518232,-1.633775
D111A,0.505841,-1.886646
D111A,0.524825,-2.019123
D111A,0.574543,-2.053247
D111A,0.537919,-1.871174
D111A,0.567602,-1.711125
D111A,0.535874,-1.938397
D111A,0.510417,-1.743043
D111A,0.565703,-1.706761
D111A,0.490087,-1.814720
D111A,0.451887,-1.817561
D111A,0.408500,-2.168223
D111A,0.465314,-1.966703
D111A,0.397650,-1.990608
D111A,0.483258,-1.996073
D111A,0.408251,-1.994807
D111A,0.416867,-1.919325
D111A,0.458404,-1.912880
D111A,0.443430,-1.995298
D111A,0.438067,-2.139235
D111A,0.446983,-1.917323
D111A,0.501900,-1.614017
D111A,0.449237,-1.733965
D111A,0.420264,-1.953834
D111A,0.382084,-1.711170
D111A,0.377173,-2.100342
D111A,0.469156,-2.062803
D111A,0.561900,-1.976463
D111A,0.529047,-1.446798
D111A,0.534840,-1.698426
D111A,0.462361,-1.458365
D111A,0.424168,-1.357889
D111A,0.400531,-1.495491
D111A,0.494988,-1.800337
D111A,0.537678,-2.102354
D111A,0.656680,-2.082480
D111A,0.551044,-2.240198
D111A,0.534027,-1.866254
D111A,0.545065,-1.890619
D111A,0.498672,-1.801472
D111A,0.445482,-1.476813
D111A,0.522778,-1.347910
D111A,0.464873,-1.395203
D111A,0.496140,-1.277896
D111A,0.542321,-1.690902
D111A,0.483733,-1.858326
D111A,0.480890,-1.382707
D111A,0.441913,-1.322317
D111A,0.528649,-1.551480
D111A,0.460109,-1.364447
D111A,0.468831,-1.657505
D111A,0.488675,-1.665324
D111A,0.609131,-1.387552
D111A,0.523665,-1.213444
D111A,0.518938,-1.376923
D111A,0.491112,-1.529017
D111A,0.574510,-1.392900
D111A,0.521273,-1.564049
D111A,0.571595,-1.638313
D111A,0.532031,-1.600385
D111A,0.487124,-1.708105
D111A,0.509384,-1.675916
D111A,0.538449,-1.565317
D111A,0.511144,-1.234621
D111A,0.486359,-1.447848
D111A,0.500031,-1.292331
D111A,0.534784,-1.493739
D111A,0.465388,-1.002508
D111A,0.471875,-1.048341
D111A,0.532399,-1.309829
D111A,0.577572,-1.103303
D111A,0.514577,-1.348110
D111A,0.452675,-1.386917
D111A,0.402853,-1.101710
D111A,0.550339,-1.290658
D111A,0.439200,-0.929273
D111A,0.454897,-1.008625
D111A,0.411711,-1.047726
D111A,0.447122,-1.103788
D111A,0.422403,-0.696718
D111A,0.571164,-0.841374
D111A,0.491968,-0.621862
D111A,0.489546,-0.769206
D111A,0.561111,-1.328094
D111A,0.486943,-1.144146
D111A,0.516280,-0.871798
D111A,0.528699,-0.621029
D111A,0.487406,-1.447760
D111A,0.582540,-1.332636
D111A,0.466308,-1.581374
D111A,0.532940,-1.776668
D111A,0.437274,-1.551825
D111A,0.529727,-1.191629
D111A,0.504755,-1.710841
D111A,0.520602,-1.615108
D111A,0.473495,-1.369198
D111A,0.439815,-1.284219
D111A,0.427949,-0.870807
D111A,0.436036,-1.213048
D111A,0.433297,-1.645468
D111A,0.485564,-1.275865
D111A,0.527487,-1.574473
D111A,0.528036,-1.395037
D111A,0.567354,-1.511961
D111A,0.393114,-1.230342
D111A,0.357566,-1.259554
D111A,0.336135,-1.076736
D111A,0.370294,-1.273705
D111A,0.417012,-1.389471
D111A,0.418805,-1.364552
D111A,0.422537,-1.210951
D111A,0.392868,-1.220225
D111A,0.464503,-1.274589
D111A,0.398079,-1.224017
D111A,0.478090,-1.481959
D111A,0.387505,-1.467894
D111A,0.435581,-1.634413
D111A,0.489231,-1.451083
D111A,0.416899,-1.266005
D111A,0.391512,-1.556948
D111A,0.436025,-1.387142
D111A,0.456213,-1.377771
D111A,0.484367,-1.376421
D111A,0.457806,-1.248909
D111A,0.553011,-1.552018
D111A,0.483661,-1.176810
D111A,0.494414,-1.428136
D111A,0.442466,-1.344208
D111A,0.457605,-1.324450
D111A,0.447936,-1.306911
D111A,0.400281,-1.269067
D111A,0.455806,-1.078494
D111A,0.462695,-0.933451
D111A,0.545085,-1.505205
D111A,0.453245,-1.361763
D111A,0.491874,-1.245138
D111A,0.454370,-1.396951
D111A,0.466722,-1.316381
D111A,0.441943,-1.538487
D111A,0.326661,-1.057306
D111A,0.369176,-1.196048
D111A,0.368251,-1.071843
D111A,0.472270,-1.228557
D111A,0.527137,-1.224642
D111A,0.399236,-1.403947
D111A,0.516343,-1.223285
D111A,0.414045,-1.082332
D111A,0.388062,-1.102648
D111A,0.394448,-1.047642
D111A,0.466908,-1.214652
D111A,0.470167,-1.170503
D111A,0.443620,-0.887647
D111A,0.317494,-0.888940
D111A,0.440972,-1.139285
D111A,0.378048,-0.945121
D111A,0.399242,-1.078642
D111A,0.449899,-0.865194
D111A,0.430717,-0.808301
D111A,0.514510,-0.972047
D111A,0.500685,-1.056742
D111A,0.427867,-0.895641
D111A,0.399914,-0.880393
D111A,0.460392,-0.857160
D111A,0.487164,-0.690294
D111A,0.467690,-0.851267
D111A,0.524802,-0.920795
D111A,0.425738,-0.662686
D111A,0.453223,-0.798181
D111A,0.490563,-1.032510
D111A,0.517135,-1.225518
D111A,0.499165,-0.885964
D111A,0.492544,-0.979354
D111A,0.517780,-1.328170
D111A,0.581681,-1.113911
D111A,0.534193,-0.906211
D111A,0.632708,-1.201814
D111A,0.585967,-1.093189
D111A,0.611482,-0.986911
D111A,0.606694,-0.994627
D111A,0.502228,-0.671372
D111A,0.539067,-1.126218
D111A,0.580704,-0.876450
D111A,0.592281,-0.778453
D111A,0.610063,-0.792625
D111A,0.487891,-0.867400
D111A,0.608381,-0.840476
D111A,0.600117,-0.900563
D111A,0.621624,-0.908693
D111A,0.552270,-0.716650
D111A,0.651514,-0.604205
D111A,0.421664,-0.547519
D111A,0.457210,-0.507706
D111A,0.468163,-0.461299
D111A,0.437943,-0.624851
D111A,0.472970,-0.654860
D111A,0.471744,-0.535779
D111A,0.509463,-0.412921
D111A,0.562689,-0.760177
D111A,0.557593,-0.672130
D111A,0.531930,-0.510231
D111A,0.501487,-0.611221
D111A,0.510855,-0.634127
D111A,0.570378,-0.553822
D111A,0.570592,-0.544561
D111A,0.623483,-0.892855
D111A,0.624400,-0.735596
D111A,0.587179,-0.550387
D111A,0.644650,-0.659661
D111A,0.626139,-0.435966
D111A,0.717314,-0.557145
D111A,0.635139,-0.410632
D111A,0.639670,-0.154920
D111A,0.656783,-0.428997
D111A,0.639168,-0.482048
D111A,0.653735,-0.321375
D111A,0.694080,-0.450728
D111A,0.715483,-0.385929
D111A,0.703163,-0.467686
D111A,0.734266,-0.247094
D111A,0.788880,-0.449195
D111A,0.718344,-0.515823
D111A,0.743357,-0.430303
D111A,0.686426,-0.391315
D111A,0.659835,-0.314349
D111A,0.708840,-0.474109
D111A,0.687603,-0.459632
D111A,0.677291,-0.245311
D111A,0.741925,-0.466786
D111A,0.728460,-0.345722
D111A,0.643681,-0.155309
D111A,0.724358,-0.109661
D111A,0.625995,-0.092563
D111A,0.632042,-0.203465
D111A,0.718464,-0.282520
D111A,0.751182,-0.040639
D111A,0.771175,-0.109849
D111A,0.665236,-0.054707
D111A,0.631278,-0.168798
D111A,0.626079,0.145300
D111A,0.674711,0.087060
D111A,0.655424,-0.022810
D111A,0.617470,-0.053948
D111A,0.826446,-0.130115
D111A,0.662490,0.044190
D111A,0.733269,-0.046092
D111A,0.664698,0.108311
D111A,0.687182,-0.010607
D111A,0.631125,0.375013
D111A,0.664057,0.385164
D111A,0.656359,0.196691
D111A,0.614516,0.422835
D111A,0.594841,0.223562
D111A,0.643220,0.133819
D111A,0.652695,0.477463
D111A,0.639440,0.353311
D111A,0.647470,0.394478
D111A,0.575086,0.276119
D111A,0.577933,0.047228
D111A,0.585901,0.328538
D111A,0.666034,0.195849
D111A,0.612159,0.237619
D111A,0.589271,0.242157
D111A,0.630452,0.402699
D111A,0.590365,0.251754
D111A,0.652448,0.263491
D111A,0.553834,0.000497
D111A,0.618092,0.136635
D111A,0.681399,0.209588
D111A,0.640603,0.304962
D111A,0.651316,-0.004627
D111A,0.635763,0.118036
D111A,0.604342,0.141257
D111A,0.585859,0.442125
D111A,0.730445,0.337598
D111A,0.661884,0.192357
D111A,0.626168,0.036331
D111A,0.656587,0.282952
D111A,0.668985,0.244013
D111A,0.664758,0.178644
D111A,0.656970,0.353827
D111A,0.650798,0.015622
D111A,0.682778,0.029450
D111A,0.626960,0.098637
D111A,0.630236,0.319440
D111A,0.692170,0.179482
D111A,0.665809,0.069138
D111A,0.663376,0.234511
D111A,0.634422,0.274551
D111A,0.646448,0.414745
D111A,0.702796,0.249065
D111A,0.646212,0.348587
D111A,0.660236,0.279232
D111A,0.722319,0.343919
D111A,0.716997,0.136978
D111A,0.661869,0.033287
D111A,0.620365,0.315269
D111A,0.627969,0.199494
D111A,0.732104,0.025547
D111A,0.600578,0.096422
D111A,0.637534,0.108000
D111A,0.697867,0.106058
D111A,0.646696,0.185671
D111A,0.683031,0.138169
D111A,0.751866,0.478128
D111A,0.647139,-0.055134
D111A,0.700333,0.147825
D111A,0.647091,0.109830
D111A,0.736422,-0.028083
D111A,0.690609,0.119056
D111A,0.696193,0.110747
D111A,0.681850,0.232304
D111A,0.626356,0.314515
D111A,0.611517,0.363118
D111A,0.628095,0.381358
D111A,0.637824,0.312027
D111A,0.705289,0.195523
D111A,0.613884,0.162116
D111A,0.705785,0.438086
D111A,0.665468,0.174380
D111A,0.702921,0.348580
D111A,0.610259,0.288136
D111A,0.610625,0.241006
D111A,0.674720,0.370359
D111A,0.628910,0.107149
D111A,0.702437,0.278966
D111A,0.620913,0.219882
D111A,0.638501,0.427679
D111A,0.658213,0.261595
D111A,0.751596,0.099876
D111A,0.663003,0.118415
D111A,0.678792,0.169093
D111A,0.640078,0.283121
D111A,0.690158,0.290392
D111A,0.552154,0.054255
D111A,0.587499,0.020245
D111A,0.565279,0.126173
D111A,0.593597,0.253461
D111A,0.639876,0.049775
D111A,0.599392,0.161065
D111A,0.654590,0.026534
D111A,0.550070,0.156405
D111A,0.579638,-0.039587
D111A,0.625941,0.157855
D111A,0.589096,0.073518
D111A,0.618162,0.104354
D111A,0.542034,0.084795
D111A,0.488475,0.278650
D111A,0.541817,0.049173
D111A,0.571400,0.292272
D111A,0.657081,0.034806
D111A,0.623879,0.251001
D111A,0.587986,0.044738
D111A,0.662394,0.272939
D111A,0.651534,0.104520
D111A,0.740563,0.017155
D111A,0.607453,0.159990
D111A,0.608593,0.047898
D111A,0.585426,0.093652
D111A,0.538896,0.083050
D111A,0.612536,0.025390
D111A,0.504919,0.087616
D111A,0.512695,0.170972
D111A,0.589409,0.173809
D111A,0.513927,0.052480
D111A,0.642610,-0.059978
D111A,0.530537,0.060975
D111A,0.511582,0.107334
D111A,0.373228,0.144143
D111A,0.533606,0.261525
D111A,0.577075,0.008400
D111A,0.551681,0.197356
D111A,0.599534,0.241457
D111A,0.594874,0.142198
D111A,0.708579,0.098175
D111A,0.638589,0.156133
D111A,0.556745,0.330497
D111A,0.519447,-0.092820
D111A,0.495789,0.025675
D111A,0.453262,0.094100
D111A,0.538439,-0.017854
D111A,0.523290,-0.182095
D111A,0.506094,-0.202074
D111A,0.547609,-0.186356
D111A,0.580150,-0.007932
D111A,0.733921,0.106639
D111A,0.641574,0.172226
D111A,0.542324,0.037208
D111A,0.610045,0.083139
D111A,0.516902,-0.097255
D111A,0.501830,0.017447
D111A,0.517946,-0.030490
D111A,0.454463,-0.135588
D111A,0.585268,0.010263
D111A,0.693374,-0.021306
D111A,0.671727,-0.061493
D111A,0.667424,-0.014084
D111A,0.598785,0.077032
D111A,0.631698,0.377082
D111A,0.706477,0.220838
D111A,0.650485,0.239907
D111A,0.616047,0.094220
D111A,0.677496,0.327329
D111A,0.629097,0.017514
D111A,0.658400,-0.158106
D111A,0.649697,-0.043652
D111A,0.645015,0.082278
D111A,0.574277,0.127233
D111A,0.645486,0.044357
D111A,0.534140,0.254345
D111A,0.609186,0.102498
D111A,0.619687,0.295808
D111A,0.626332,-0.039466
D111A,0.570056,0.104140
D111A,0.632859,0.018890
D111A,0.705676,-0.093794
D111A,0.533184,0.116479
D111A,0.544368,0.125963
D111A,0.587213,-0.047196
D111A,0.649639,0.173121
D111A,0.627396,0.350825
D111A,0.589353,0.111874
D111A,0.575449,0.237802
D111A,0.612659,0.064747
D111A,0.535860,0.179566
D111A,0.585443,0.051750
D111A,0.578152,0.300858
D111A,0.578154,-0.037682
D111A,0.566743,0.029714
D111A,0.650941,0.364179
D111A,0.460264,-0.044440
D111A,0.597587,-0.047255
D111A,0.605233,-0.035567
D111A,0.526358,0.082335
D111A,0.607851,0.036341
D111A,0.626605,0.186262
D111A,0.716822,0.151716
D111A,0.636424,0.310401
D111A,0.722662,0.066340
D111A,0.673507,0.195706
D111A,0.720827,0.089563
D111A,0.685952,0.297210
D111A,0.621988,0.241751
D111A,0.651104,0.229003
D111A,0.703051,0.280431
D111A,0.691049,0.183133
D111A,0.661206,-0.082583
D111A,0.740915,0.127252
D111A,0.661521,-0.068807
D111A,0.678516,0.259919
D111A,0.740595,0.201329
D111A,0.735761,0.229191
D111A,0.723981,0.535391
D111A,0.624106,0.215974
D111A,0.747705,0.073905
D111A,0.720846,0.335268
D111A,0.719906,0.154543
