Time_ns,WT,D111A,T110A_D111A,T60A_S63A
12.600000,0.274473,0.298942,0.280474,0.266997
12.700000,0.295329,0.350070,2.544431,0.303038
12.800000,0.308180,0.332297,0.284691,0.277252
12.900000,0.327992,0.300763,2.569145,0.267164
13.000000,0.283738,0.367368,0.264472,0.212923
13.100000,0.268284,0.380170,2.592672,0.264087
13.200000,0.249511,0.363916,0.332052,0.279058
13.300000,0.262543,0.299474,0.328525,0.251988
13.400000,0.308178,0.240927,2.622021,0.302377
13.500000,0.259129,0.283435,0.334261,0.261564
13.600000,0.287408,0.284558,0.307245,0.266146
13.700000,0.228424,0.249608,0.320669,0.280592
13.800000,0.241656,0.228795,0.392939,0.235994
13.900000,0.247748,0.215281,0.332549,0.271343
14.000000,0.228093,0.237197,0.283853,0.218288
14.100000,0.225730,0.194608,0.329292,0.250584
14.200000,0.208806,0.267442,0.239331,0.285839
14.300000,0.214008,0.264447,0.312876,0.262572
14.400000,0.197467,0.225287,2.597446,0.251797
14.500000,0.220825,0.238158,2.598330,0.292973
14.600000,0.255328,0.246666,2.593074,0.286435
14.700000,0.251242,0.290225,0.328357,0.268257
14.800000,0.209524,0.320282,0.335174,0.256780
14.900000,0.258854,0.328067,0.263695,0.337508
15.000000,0.227771,0.384802,0.286594,0.381923
15.100000,0.181362,0.334228,0.309405,0.328826
15.200000,0.238073,0.353236,0.310395,0.308756
15.300000,0.253139,0.330744,0.379813,0.335525
15.400000,0.260688,0.296232,0.276798,0.277792
15.500000,0.279732,2.562500,0.312727,0.241589
15.600000,0.301092,0.335263,0.289373,0.194460
15.700000,0.259056,0.321240,0.281713,0.226516
15.800000,0.236600,0.268903,0.270615,0.306388
15.900000,0.253993,0.221386,0.274226,0.267271
16.000000,0.266782,0.278246,0.316489,0.232529
16.100000,0.242220,0.277365,0.269339,0.210606
16.200000,0.281484,0.275159,0.293440,0.273492
16.300000,0.259707,0.271670,0.294309,0.234527
16.400000,0.252794,0.292778,0.343936,0.294494
16.500000,0.237755,0.228986,0.347737,0.289482
16.600000,0.273173,0.234561,0.304466,0.256404
16.700000,0.248689,0.196390,0.273257,0.226153
16.800000,0.256947,0.173816,0.239001,0.255134
16.900000,0.286143,0.224002,0.275704,0.282485
17.000000,0.337829,0.212447,0.229894,0.222941
17.100000,0.293125,0.288865,0.253405,0.324916
17.200000,0.283941,0.224646,0.236090,0.252820
17.300000,0.361492,0.254539,0.313340,0.293067
17.400000,0.298997,0.235763,0.309385,0.236490
17.500000,0.290650,0.203534,0.202427,0.247561
17.600000,0.275782,0.277593,0.250669,0.270581
17.700000,0.290859,0.219058,0.309443,0.310769
17.800000,0.312753,0.189288,0.302817,0.284773
17.900000,0.389837,0.182805,0.325684,0.336368
18.000000,0.369490,0.214556,0.324996,0.283626
18.100000,0.307322,0.227186,0.420458,0.332365
18.200000,0.250468,0.199518,0.344138,0.342551
18.300000,0.251005,0.203096,2.583155,0.351250
18.400000,0.274039,0.207446,2.588210,0.330016
18.500000,0.295356,0.207010,0.217203,0.327414
18.600000,0.322462,0.227213,0.287116,0.316039
18.700000,0.273386,0.288204,0.230144,0.277137
18.800000,0.268330,0.222732,0.250136,0.262258
18.900000,0.303338,0.186142,0.236301,0.283480
19.000000,0.322885,0.188399,0.210689,0.308664
19.100000,0.398121,0.185758,0.255031,0.290055
19.200000,0.339949,0.207184,0.231159,0.272871
19.300000,0.303405,0.182504,0.281748,0.283188
19.400000,0.331333,0.248782,0.263751,0.234398
19.500000,0.302192,0.229330,0.251153,0.259806
19.600000,0.328652,0.232614,0.283547,0.319165
19.700000,0.403032,0.249529,0.250748,0.271484
19.800000,0.452778,0.241184,0.261335,0.264629
19.900000,0.393724,0.276644,0.275150,0.298835
20.000000,0.335360,0.278385,0.212865,0.265464
20.100000,0.391802,0.278084,0.206808,0.272952
20.200000,0.310205,0.228896,0.273691,0.308194
20.300000,0.348992,0.211759,0.360752,0.266585
20.400000,0.308505,0.187305,2.503742,0.278440
20.500000,0.354667,0.278964,0.372991,0.254163
20.600000,0.352455,0.290218,0.370343,0.234582
20.700000,0.294804,0.298416,0.303177,0.301243
20.800000,0.331956,0.242984,0.368488,0.248869
20.900000,0.348935,0.294075,0.348921,0.231535
21.000000,0.328290,0.349734,2.536690,0.300204
21.100000,0.296220,0.269949,0.252218,0.259595
21.200000,0.336586,0.275353,0.252715,0.246659
21.300000,0.349370,0.325466,0.343133,0.284179
21.400000,0.398283,0.336342,0.286528,0.231532
21.500000,0.343279,0.301791,0.252701,0.252185
21.600000,0.418785,0.293594,0.249850,0.245409
21.700000,0.338060,0.319926,0.264080,0.257813
21.800000,0.332829,0.302894,0.293115,0.234400
21.900000,0.354157,0.324947,0.285034,0.273849
22.000000,0.390740,0.271811,0.266708,0.304652
22.100000,0.355900,0.251175,0.266613,0.287085
22.200000,0.335988,0.249364,0.257738,0.270386
22.300000,0.349719,0.235013,0.231812,0.244400
22.400000,0.314393,0.230315,0.209287,0.256294
22.500000,0.354622,0.226635,0.299335,0.244201
22.600000,0.356573,0.261718,0.332658,0.306539
22.700000,0.307575,0.273383,0.404245,0.289857
22.800000,0.307984,0.295022,0.362806,0.322294
22.900000,0.291752,0.280204,0.288544,0.267575
23.000000,0.305352,0.275743,0.315348,0.285700
23.100000,0.334898,0.241947,0.260035,0.270850
23.200000,0.356969,0.193994,0.320154,0.291872
23.300000,0.297782,0.207243,0.345668,0.271962
23.400000,0.288549,0.241583,0.274174,0.224534
23.500000,0.296731,0.243846,0.328871,0.266326
23.600000,0.285633,0.239449,0.268405,0.251968
23.700000,0.365791,0.235120,0.199589,0.272703
23.800000,0.315664,0.224553,0.260562,0.340660
23.900000,0.311792,0.221517,0.270686,0.349650
24.000000,0.318526,0.221152,0.262688,0.279329
24.100000,0.344271,0.279582,0.293051,0.343499
24.200000,0.298254,0.264322,0.293120,0.324505
24.300000,0.294916,0.333510,0.304387,0.315745
24.400000,0.336593,0.286789,0.248277,0.392974
24.500000,0.343665,0.202909,0.269593,0.382310
24.600000,0.414707,0.252521,0.251623,0.382735
24.700000,0.437772,0.210270,0.277250,0.328841
24.800000,0.457472,0.205192,0.267609,0.352446
24.900000,0.404000,0.228625,2.610215,0.400222
25.000000,0.359996,0.233983,0.203190,0.368792
